title,ranking,year,duration,genre,rating,directors,votes
 18 Wheels of Justice,261.,(2000–2001),Desconhecido,"Action, Crime, Drama",7.386666666666667,,191.0
 24,714.,(2001–2010),42 min,"Action, Crime, Drama",8.417592592592593,,156267.0
 4 Against Z,728.,(2005–2007),27 min,"Action, Adventure, Mystery",,,0.0
 77 Sunset Strip,729.,(1958–1964),60 min,"Action, Crime, Drama",7.68,,7687.0
 A Nero Wolfe Mystery,209.,(2001–2002),Desconhecido,"Action, Drama, Mystery",8.466666666666669,,2445.0
 Acapulco H.E.A.T.,"1,071.",(1998– ),44 min,"Action, Adventure",5.836363636363637,,722.0
 Ace Lightning,"1,078.",(2002– ),Desconhecido,,,,0.0
 Achtung Zoll!,"1,083.",(1980–1981),Desconhecido,"Action, Thriller",,,0.0
 Adventure Inc.,"1,103.",(2002–2003),43 min,"Action, Adventure, Fantasy",8.385714285714286,,346.0
 Adventurer,"1,125.",(1986–1987),26 min,"Action, Drama",,,0.0
 Adventures of Superman,"1,377.",(1952–1958),30 min,"Action, Adventure, Crime",7.5617647058823545,"George Blair,Thomas Carr,George Reeves,Noel Neill,Jack Larson,John Hamilton, George Blair,Thomas Carr,George Reeves,Jack Larson,Noel Neill,John Hamilton, Thomas Carr,Lee Sholem,George Reeves,Phyllis Coates,Jack Larson,John Hamilton, Lee Sholem,Thomas Carr,George Reeves,Phyllis Coates,Jack Larson,John Hamilton, George Blair,Howard Bretherton,George Reeves,Jack Larson,Noel Neill,John Hamilton",15579.0
 Air America,"1,428.",(1998–1999),Desconhecido,,6.966666666666666,,121.0
 Airwolf,"1,479.",(1984–1986),48 min,"Action, Adventure, Sci-Fi",6.512987012987014,,7251.0
 Aladdin,"1,531.",(1994–1995),21 min,"Animation, Action, Adventure",7.3,"Rob LaDuca,Toby Shelton,Scott Weinger,Val Bettin,Dan Castellaneta,Jim Cummings",476.0
 Alarm Code 112,100.,(1996),87 min,"Action, Drama",8.8,,7.0
 Alarm für Cobra 11 - Die Autobahnpolizei,210.,(1996– ),46 min,"Action, Adventure, Crime",6.625735294117647,,4864.0
 Alarm für Cobra 11 - Einsatz für Team 2,553.,(2003–2015),46 min,"Action, Crime, Drama",7.457142857142857,,108.0
 Alfa Papa Tango,"1,683.",(1990–1991),Desconhecido,"Action, Drama, Romance",,,0.0
 Alias,"1,734.",(2001–2006),42 min,"Action, Drama, Mystery",7.730208333333334,"Ken Olin,J.J. Abrams,Jennifer Garner,Ron Rifkin,Michael Vartan,Carl Lumbly",45664.0
